REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_normal_euclidean,LRP__gausian_small_normal_euclidean,Same_Classification__gausian_small_normal,REVEAL__small_uniform_euclidean,LRP__small_uniform_euclidean,Same_Classification__small_uniform,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform,REVEAL__gausian_big_normal_euclidean,LRP__gausian_big_normal_euclidean,Same_Classification__gausian_big_normal
,,,,,,0.0011201903995265,0.0011808229470359,True,,,,,,
,,,,,,,,,0.0020656665028675,0.0065324917171575,False,,,
,,,,,,,,,,,,0.0017349479292872,0.0035160027572082,True
0.0007662484791232,0.0009930487110984,True,,,,,,,,,,,,
,,,0.0003718518824317,0.000433078170159,True,,,,,,,,,
,,,,,,0.0012095524851549,0.001606963558818,True,,,,,,
,,,,,,,,,0.0031449659806049,0.0075214716133944,False,,,
,,,,,,,,,,,,0.0026104874675344,0.0033611053693462,True
0.0009032967308456,0.0011054815719644,True,,,,,,,,,,,,
,,,0.0005768654330189,0.0006562395298954,True,,,,,,,,,
,,,,,,0.0015324099438503,0.0016132643404605,True,,,,,,
,,,,,,,,,0.0044915387778907,0.0070569575633782,False,,,
,,,,,,,,,,,,0.0016048072154691,0.0027278272142189,True
0.0012064885714264,0.0011952979984527,True,,,,,,,,,,,,
,,,0.0003751901243246,0.0004613324990838,True,,,,,,,,,
,,,,,,0.001139221541298,0.0014123899546158,True,,,,,,
,,,,,,,,,0.0015239228403353,0.0040795764571257,False,,,
,,,,,,,,,,,,0.0014488069262303,0.0029648043965598,True
0.001358337797572,0.0014967417297147,True,,,,,,,,,,,,
,,,0.0012961097484299,0.0005015559215674,True,,,,,,,,,
,,,,,,0.0024394429713386,0.003153312768379,True,,,,,,
,,,,,,,,,0.0068078479903358,0.0093959638078847,False,,,
,,,,,,,,,,,,0.0013559703419774,0.0030113789221566,True
0.00107400129173,0.0009961628751981,True,,,,,,,,,,,,
,,,0.0004329005926933,0.0004262506907587,True,,,,,,,,,
,,,,,,0.0008516198033057,0.0020939914602881,True,,,,,,
,,,,,,,,,0.0045107001920833,0.0075112884248209,False,,,
,,,,,,,,,,,,0.0020174408823266,0.0029042081542563,True
0.0006261149140191,0.001987164260021,True,,,,,,,,,,,,
,,,6.857955581697083e-05,0.0004448895059191,True,,,,,,,,,
,,,,,,0.0003887404060571,0.0014393427007623,True,,,,,,
,,,,,,,,,0.0008516206171827,0.010994701126441,False,,,
,,,,,,,,,,,,0.0018909526794904,0.004250478035675,True
0.0007263954167626,0.0013057587135398,True,,,,,,,,,,,,
,,,0.0002624130038186,0.0002129707042692,False,,,,,,,,,
,,,,,,0.0007562266717554,0.0012954530255484,False,,,,,,
,,,,,,,,,0.003172262063213,0.005542778041061,False,,,
,,,,,,,,,,,,0.0007523395935379,0.0024017936827298,False
0.0006192102215086,0.0004873081789626,True,,,,,,,,,,,,
,,,0.0002614919487486,3.865181909998116e-05,True,,,,,,,,,
,,,,,,0.0006107006702691,0.0008754343490927,True,,,,,,
,,,,,,,,,0.0014854769674344,0.0052831146000663,False,,,
,,,,,,,,,,,,0.001961701318314,0.0034756996049896,True
0.0010355951321761,0.0014027790681849,True,,,,,,,,,,,,
,,,0.0002681400638311,0.0004912819818261,True,,,,,,,,,
,,,,,,0.0004817387267876,0.0011482789901663,True,,,,,,
,,,,,,,,,0.0072400500141996,0.0068976005968166,False,,,
,,,,,,,,,,,,0.0008246915748361,0.0027174138818994,True
0.0005428353422676,0.0013018919915884,True,,,,,,,,,,,,
,,,0.000889045462618,0.0006993967172879,False,,,,,,,,,
,,,,,,0.0008752942332134,0.0007127613550004,True,,,,,,
,,,,,,,,,0.0030414300807474,0.0062929432040832,False,,,
,,,,,,,,,,,,0.002594683787754,0.0038270541182474,False
0.0017673245760622,0.0010982362347626,False,,,,,,,,,,,,
,,,0.0007822978196467,0.0005612874703467,True,,,,,,,,,
,,,,,,0.0017679930121013,0.0015983964144554,False,,,,,,
,,,,,,,,,0.0020670377934572,0.0071372123548074,False,,,
