REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__big_uniform_euclidean,LRP__big_uniform_euclidean,Same_Classification__big_uniform
1.205463392682234e-06,1.6262884479381512e-06,True,,,
,,,1.0689122973709351e-05,1.0006218240574787e-05,False
1.1729882684356676e-06,1.1661629676659055e-06,True,,,
,,,1.3716928817111082e-05,9.08671320519074e-06,False
1.3177497564004094e-06,1.0169861309131371e-06,True,,,
,,,1.1763589611256202e-05,1.149391237072496e-05,False
7.428481812956739e-07,7.390002982102934e-07,True,,,
,,,4.803038623227137e-06,7.443432602384293e-06,False
2.4320506731554395e-06,1.4078009528797743e-06,True,,,
,,,1.3081279979370592e-05,1.2743340741504007e-05,False
9.214205918120474e-07,1.2276579831714342e-06,True,,,
,,,1.1840813075823829e-05,1.4215640781500154e-05,False
4.179859723364798e-06,2.483622699561137e-06,True,,,
,,,2.835418506977665e-06,9.530450456961035e-06,False
1.4618112922862374e-06,1.6124349792425624e-06,True,,,
,,,2.8111859602540537e-06,8.729747522933489e-06,False
1.1019497177093338e-06,1.3985314518983664e-06,True,,,
,,,1.0709798447275377e-05,1.81817646045989e-05,False
1.4615483660693864e-06,1.900194347024116e-06,True,,,
